ltla24_code,healthy_lives_score,healthy_lives_rank,healthy_lives_quantile,healthy_people_score,healthy_people_rank,healthy_people_quantile,healthy_places_score,healthy_places_rank,healthy_places_quantile,health_inequalities_score,health_inequalities_rank,health_inequalities_quantile
S12000033,8.092602491126907,25,8,3.281249294675847,19,6,-0.46247695082986473,15,5,1.806451612903226,22,7
S12000034,9.412439047346526,26,9,10.67645584842668,29,10,0.8616038326279757,22,7,2.387096774193548,27,9
S12000041,-5.759548632946659,9,3,1.4812695416097206,17,6,3.3123032391361704,28,9,1.6451612903225805,18,6
S12000035,-4.118680039491204,16,5,5.493733119111389,24,8,-4.267923581158593,4,1,1.3225806451612903,14,5
S12000008,-9.138433971117212,6,2,-8.426198827601963,6,2,-0.7122747118755748,14,5,0.7419354838709677,5,2
S12000021,-13.56527304783936,3,1,-12.35220213928048,3,1,1.7120028917315837,25,8,0.9032258064516129,8.5,3
S12000028,-7.6651521857019596,7,2,0.5535300730591434,16,5,-2.497900206879363,6,2,0.8387096774193549,6.5,2
S12000026,4.377701022675197,22,7,3.8023310302935074,21,7,0.2549009474751963,17,6,1.8387096774193548,23,8
S12000005,-17.030734599193742,1,1,-7.126621011655892,7,2,-6.8174577350121535,1,1,0.1935483870967742,2,1
S12000006,-5.023211480196394,12,4,-2.5637014205677104,14,5,-2.976603921282089,5,2,0.9032258064516129,8.5,3
S12000045,21.48157798262503,32,10,11.923090022613701,30,10,6.001869238859449,32,10,2.935483870967742,32,10
S12000039,-9.664807789365454,5,2,-12.070272831669065,4,1,0.6884342574315562,20,7,0.8387096774193549,6.5,2
S12000042,-15.613933085433729,2,1,-13.323812432331202,2,1,-4.562299834944991,3,1,0.12903225806451613,1,1
S12000036,19.91800203899526,30,10,6.1561116542588135,26,9,-1.3051199076202114,8,3,1.9677419354838708,25,8
S12000014,0.252556650256888,19,6,-5.279394319665633,10,3,0.6341999219555686,19,6,1.4516129032258065,15.5,5
S12000047,-5.902971272712625,8,3,-5.382719651924232,8,3,0.9997569438143459,23,8,1.1612903225806452,11,4
S12000049,-4.645907398683962,14,5,-13.826732638280655,1,1,-4.745693096239279,2,1,0.4516129032258065,3,1
S12000017,2.8685226846176066,21,7,6.789483174699265,27,9,-0.9881853102517858,12,4,1.838709677419355,24,8
S12000018,-5.239755708121623,11,4,-4.873799698878985,11,4,0.8268816188274806,21,7,1.2903225806451613,13,4
S12000050,-12.739673795421432,4,1,-10.911769565085798,5,2,-1.0522698258287195,10,3,0.5161290322580645,4,1
S12000029,-0.381594006423019,18,6,-3.780196274038152,12,4,1.9033179953909412,26,9,1.7096774193548385,20,7
S12000010,10.258407607696709,28,9,2.6990836591800385,18,6,1.4180602367470079,24,8,2.161290322580645,26,9
S12000040,2.272669170645303,20,7,-3.014403804911345,13,4,0.08958767172153861,16,5,1.4838709677419355,17,6
S12000019,10.57550429993155,29,10,4.208035944342942,22,7,2.559639326875942,27,9,2.4193548387096775,29,10
S12000020,-4.192306190344644,15,5,0.1341289935413208,15,5,-1.0619751290734716,9,3,1.161290322580645,10,3
S12000013,-5.667631994088757,10,3,5.5471963451053385,25,8,-0.8916505277893668,13,4,1.4516129032258065,15.5,5
S12000023,-1.2603021206628224,17,6,13.306338230062053,31,10,3.850384785073765,29,10,2.3870967741935485,28,9
S12000048,10.175986193441206,27,9,3.5261419195907178,20,7,-1.526448750443329,7,2,1.6451612903225807,19,6
S12000038,-4.791637593297307,13,4,-5.301113037132452,9,3,0.27959221110721655,18,6,1.193548387096774,12,4
S12000011,20.80042634097747,31,10,8.868577362484155,28,9,5.074153510961594,31,10,2.806451612903226,31,10
S12000027,4.690916644549924,23,8,14.723656458984564,32,10,4.409097900040553,30,10,2.6451612903225805,30,10
S12000030,7.2242427361560315,24,8,5.062524980984683,23,8,-1.0075070405491755,11,4,1.7741935483870968,21,7
