ltla24_code,healthy_lives_score,healthy_lives_rank,healthy_lives_quantile,healthy_places_score,healthy_places_rank,healthy_places_quantile,healthy_people_score,healthy_people_rank,healthy_people_quantile,health_inequalities_score,health_inequalities_rank,health_inequalities_quantile
S12000033,0.6501206655230842,23,8,-0.27375823728566595,14,5,2.472078903598839,26,9,2.8484413318362574,24,8
S12000034,1.5080091427744522,27,9,1.0272960166332954,26,9,4.633502180911935,29,10,7.168807340319683,29,10
S12000041,-1.3180096507256365,8,3,1.1687285685975888,27,9,0.5904219601475085,19,6,0.4411408780194608,19,6
S12000035,-0.286178508706321,15,5,-3.0846006154399666,3,1,1.7610690234136124,21,7,-1.6097101007326753,12,4
S12000008,-1.4137746907258115,7,2,-0.664523173308722,10,3,-4.8231299401436765,3,1,-6.90142780417821,5,2
S12000021,-2.2244951233169155,3,1,-0.7384614376767373,8,3,-4.3986434976812046,6,2,-7.361600058674857,4,1
S12000028,-0.0856346328343886,18,6,-1.748361515136233,5,2,-0.46817807418960417,16,5,-2.3021742221602257,11,4
S12000026,1.6593855847862848,29,10,-0.7102543513597874,9,3,1.1707286912905943,20,7,2.1198599247170917,23,8
S12000005,-2.3654539231745764,2,1,-2.181003081408394,4,1,-3.8484512010531864,7,2,-8.394908205636156,3,1
S12000006,-0.4324608560945483,13,4,-1.7256514981297677,6,2,-0.633775446023894,14,5,-2.79188780024821,10,3
S12000045,4.172491481378861,32,10,3.684566927715145,32,10,4.87964034534602,30,10,12.736698754440027,32,10
S12000039,-1.7016716464572026,5,2,0.4268250429942819,19,6,-4.42716439777471,5,2,-5.702011001237631,7,2
S12000042,-2.6961857810602408,1,1,-3.5554872499284915,1,1,-5.308693237458558,1,1,-11.56036626844729,1,1
S12000036,2.8968917836123564,30,10,0.011911771477080446,15,5,3.788531638183946,28,9,6.697335193273383,28,9
S12000014,0.151406460380871,19,6,0.4919780739414717,21,7,-1.036498123448843,11,4,-0.3931135891265004,16,5
S12000047,-1.0153935558441465,10,3,0.06964433527328535,16,5,-1.8565836603434782,9,3,-2.8023328809143395,9,3
S12000049,-0.6145083214093324,12,4,-3.128291415681034,2,1,-4.859186418790775,2,1,-8.601986155881141,2,1
S12000017,0.418663614135243,22,7,-0.5955950735824307,11,4,0.5353253964675331,18,6,0.3583939370203454,18,6
S12000018,-0.62551753795676035,11,4,0.8280830779913184,23,8,-3.2196045321280136,8,3,-3.0170389920934557,8,3
S12000050,-1.1366682863401758,9,3,-1.0236971380033235,7,2,-4.653098684108876,4,1,-6.813464108452376,6,2
S12000029,0.2706357301489396,21,7,0.8383165197210192,24,8,-0.8125665613970388,13,4,0.29638568847292013,17,6
S12000010,0.7911020780880695,25,8,1.4275649907657069,28,9,2.135735866633869,22,7,4.354402935487645,26,9
S12000040,0.19766744116141088,20,7,0.1885025000467997,18,6,-1.1892094843414611,10,3,-0.8030395431332505,15,5
S12000019,0.7671638027411612,24,8,2.379632159517282,30,10,2.3465848899886894,25,8,5.493380852247133,27,9
S12000020,-0.2797919706261231,16,5,-0.5244659297719871,12,4,-0.47495449528117417,15,5,-1.2792123956792845,13,4
S12000013,-1.450907242434365,6,2,0.7954195997532888,22,7,2.2985838270341405,24,8,1.6430961843530643,21,7
S12000023,-1.9362724831012734,4,1,0.971786169668301,25,8,2.9270500433237547,27,9,1.9625637298907823,22,7
S12000048,1.5146741105848691,28,9,-0.36768049428359073,13,4,0.24143556966791083,17,6,1.3884291859691893,20,7
S12000038,-0.19739482452014823,17,6,0.11637398631779342,17,6,-0.8748907488279036,12,4,-0.9559115870302585,14,5
S12000011,4.056922289021555,31,10,3.149044579630812,31,10,5.4075942954275265,32,10,12.613561164079893,31,10
S12000027,-0.3738561448102983,14,5,2.2955934242272535,29,10,5.399129833333173,31,10,7.320867112750129,30,10
S12000030,1.0990409958010294,26,9,0.45056346672429337,20,7,2.2972160382232922,23,8,3.846820500748615,25,8
